day,title,part_1_ms,part_2_ms
1,Historian Hysteria,0.6,0.7
2,Red-Nosed Reports,5.0,21.8
3,Mull It Over,0.5,0.9
4,Ceres Search,51.2,10.6
5,Print Queue,2.1,3.4
6,Guard Gallivant,3.3,563.6
7,Bridge Repair,13.8,29.9
8,Resonant Collinearity,0.6,1.3
9,Disk Fragmenter,24.2,36.6
10,Hoof It,20.0,19.7
11,Plutonian Pebbles,2.3,86.7
12,Garden Groups,77.6,85.4
13,Claw Contraption,2.0,1.9
14,Restroom Redoubt,1.4,13.9
15,Warehouse Woes,14.2,24.5
16,Reindeer Maze,171.0,171.0
17,Chronospatial Computer,0.0,9.3
18,RAM Run,20.8,54.0
19,Linen Layout,28.3,61.8
20,Race Condition,30.2,69.9
21,Keypad Conundrum,0.0,0.0
22,Monkey Market,33.8,658.4
23,LAN Party,4.7,14.9
24,Crossed Wires,1.8,1.1
25,Code Chronicle,58.4,0.0
